epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4279,2.70365,3.81719,3.00251,0.00724,0.63,0.00594,0.00266,2.0493,3.6586,3.74142,8e-05,8e-05,8e-05
2,56.5911,1.93965,3.27453,2.73076,0.09431,0.37,0.06952,0.03845,1.06672,2.91193,2.74048,0.000178218,0.000178218,0.000178218
3,80.1651,1.22671,2.48792,2.26425,0.35692,0.5,0.33905,0.17641,1.06981,3.84721,2.24931,0.000274456,0.000274456,0.000274456
4,102.156,0.92139,1.83384,1.97686,0.4318,0.8,0.52121,0.3514,0.89926,3.1141,2.21808,0.000368714,0.000368714,0.000368714
5,123.104,1.00141,1.74577,2.04571,0.6062,0.81586,0.6781,0.47252,0.89338,1.83457,2.17611,0.000460992,0.000460992,0.000460992
6,144.548,0.9178,1.41161,1.92884,0.58379,0.85,0.76285,0.48192,0.85425,2.02279,2.48928,0.00055129,0.00055129,0.00055129
7,166.297,0.83489,1.23556,1.90914,0.70313,0.92,0.8443,0.59575,0.83301,1.4893,2.57085,0.000639608,0.000639608,0.000639608
8,191.977,0.95053,1.24518,1.80769,0.81872,0.90329,0.88942,0.69426,0.87117,1.27626,2.65744,0.000725946,0.000725946,0.000725946
9,218.079,0.8584,1.07035,2.15233,0.83847,0.88,0.90245,0.69066,0.87139,1.4392,2.48675,0.000810304,0.000810304,0.000810304
10,245.238,0.90346,0.99184,2.25819,0.80769,0.92403,0.85261,0.58057,0.99281,1.4832,2.26334,0.000892682,0.000892682,0.000892682
11,270.679,0.94536,1.04088,1.88288,0.75457,0.85,0.80878,0.53403,1.02682,1.3176,2.2804,0.00097308,0.00097308,0.00097308
12,296.46,0.87525,1.03089,1.94969,0.79356,0.84,0.7979,0.57541,0.93843,1.3918,2.34266,0.0010515,0.0010515,0.0010515
13,321.076,0.90475,0.93982,1.82942,0.78345,0.9,0.83553,0.61509,0.9191,1.43391,2.27531,0.00112794,0.00112794,0.00112794
14,347.964,0.93827,0.97124,1.98695,0.83338,0.92,0.91028,0.70892,0.8916,1.16068,2.30712,0.00120239,0.00120239,0.00120239
15,374.189,0.92217,0.90584,1.96737,0.85862,0.91095,0.93621,0.72244,0.85803,1.06531,2.34504,0.00127487,0.00127487,0.00127487
16,400.596,0.9033,0.86853,2.09242,0.86725,0.91462,0.93691,0.68857,0.90805,1.09809,2.36276,0.00134537,0.00134537,0.00134537
17,429.729,0.84261,0.82037,2.02553,0.80377,0.86015,0.89611,0.70677,0.89329,1.13279,2.40088,0.00141389,0.00141389,0.00141389
18,452.6,0.8195,0.77156,1.94268,0.81965,0.84,0.89219,0.68721,0.88892,1.16637,2.47529,0.00148043,0.00148043,0.00148043
19,476.702,0.89419,0.85755,1.85903,0.85406,0.8778,0.92923,0.74129,0.84636,1.06038,2.38586,0.00154498,0.00154498,0.00154498
20,500.883,0.86647,0.79369,1.82124,0.90749,0.89,0.9335,0.74121,0.89458,0.95583,2.16341,0.00160756,0.00160756,0.00160756
21,524.654,0.93201,0.84105,1.99653,0.84184,0.93,0.91593,0.7162,0.86536,0.97465,2.1092,0.001604,0.001604,0.001604
